Book,ISBN,user 1,user 2,user 3,user 4,user 5,user 6,user 7,user 8,user 9,user 10,user 11,user 12,user 13,user 14,user 15,user 16,user 17,user 18,user 19,user 20,user 21,user 22,user 23,user 24,user 25,user 26,user 27,user 28,user 29,user 30
Asylum,1599907844,4,1,2.5,3,2.5,2.5,3,3,2,2,3,3,2,4,3,2,3.5,3,2,4,2,4,4,4,2,3,3,4,3.5,3.5
fire and blood,545537460,3,3,4,2,3,2,3,1,3.5,1,3,3,2,2,3,1,3,1,4,3.5,1,4,4,4,2,3,4,3,3.5,2
twisted sisters,451239652,1,2,4.5,3,2,4,3,5,2,3,2,3,2,2,3.5,2,2.5,3,2,4,2,5,3,5,2,3,3,4,4,3.5
Moth and Spark,670015709,1,3,3,2,1.5,2.5,2,5,3,4,3,3,1.5,4,3,2,2,3,2.5,3.5,2,4,3,4,4,3,2,4,3.5,3.5
Dangerous Illusions,1940521645,1,1,4,3,4.5,4,3,5,3,1,2,3,1.5,4,3.5,2.5,2.5,1.5,1.5,4,2,5,3,4,2,4,1.5,2,3.5,4.5
The Black-Eyed Blonde,805098143,1,1,3.5,2,3,2.5,3,3,2,4,3,3,3,2,3,2,2.5,2,2,3.5,2,5,3,4,2,3,3.5,4,3,4
the ghost runner,1620403404,1,1,2,3,4.5,4,3,5,3,2,3,3,3,4,3.5,2.5,3,2.5,2.5,3.5,2,4,3,4,2,3,3.5,5,3,4
Dead silent,1408327562,4,1,3,4,3,3,3,3,3.5,4,3,3,2,2,3.5,2,2,1.5,3,4.5,2,5,3,4,3,2,3.5,4,2,3.5
before we met,1620402750,4,1.5,4,4,4,2,4.5,5,3.5,2,2,3,1.5,2,4,2.5,2.5,2,1.5,4,5,5,3,3.5,2,3,3.5,2,5,5
I forgot to remember,1451685815,4,4.5,5,3,3.5,3,3,3,3,3,3,4,1.5,4,3.5,2,3,2.5,2,4,2,5,4,5,3,2,3.5,3,2,3
Sixth extinction,805092994,4,3,2.5,3.5,3,3.5,1,5,3,2,3,3,3,5,4,2.5,2.5,3,2.5,4.5,2,5,3,2,3.5,2,3.5,4,3,3.5
Wild Things,451415191,4,3,3,4,3,3,3,5,3.5,4,2,3,3,5,3.5,1,2,1.5,3,4,3,4,3,5,3,1,3.5,2,3,3
Alienated,1423170288ÿ,3,3,3,3.5,2,3.5,3,5,2.5,3,2,3,3,2,4,1,3.5,5,2,4.5,2,5,3,3.5,3.5,2,5,3,4,4
Annhilation,374104093,1,3.5,4,2,2.5,2,1.5,3,2,1,2,4,3,4,3.5,3,3,1.5,3,5,4,4,3,2,3.5,5,4,3,5,3
Flight of the silvers,399164987,1,4,3,3.5,4,2,4.5,1,2,2,2,4,1.5,2,3.5,1,2.5,2,3,3.5,2,5,3,5,3,2,5,2,2.5,4
Influx,525953183,1,4,2,1.5,4,3.5,3,5,2,3,3,4,2,2,4.5,2,3,1.5,2,3,2,5,4,5,3.5,1.5,3,2,3,3
Tuesdays with Morrie,751529818,1,4,2.5,3,3,4,3,1,2,4,2,4,2,5,4,2,2,2,3,3,2,5,4,2,3.5,5,4,4,3,5
The alchemist,61122416,1,2.5,3,1,2.5,1.5,4.5,1,3.5,3,2,4,1.5,5,4,2.5,3,2.5,3,2,2,5,4,5,3.5,1.5,5,3,2,5
The fountainhead,0451191153ÿ,4,4,4.5,2.5,4,1.5,3,3,3,4,3,4,2,5,4.5,3,3,3,2,4,4,5,4,4,3,2,3,3,3,5
Jonathan Livingston Seagull,743278909,4,2.5,3,2.5,3.5,3.5,2,3,2,3,2,4,2,4,4,1,2,1.5,2,2,2,4,3,3.5,2,3,4,3,3,4
mahashweta,8126417463,1,1.5,1,2,3,2,2,3,3,4,2,4,2,5,4.5,1,2,2,2.5,5,4,5,4,5,2,1.5,5,3,3,3
Illusions,99427869,3,3,1.5,2.5,2,4,3,1,3.5,1,3,3,2,2,5,1,3,2.5,1.5,2,2,5,4,3.5,3,5,3,4,2,3
One,330311735,3,2.5,3,3,2.5,2.5,3,1,2,1,2,4,1.5,4,3.5,2.5,3,1.5,2,3,3,4,4,5,3.5,1.5,4,5,4,3
The sound of letting go,0670015539ÿ,4,3,3.5,2.5,2,3,2,1,3.5,5,3,3,3,5,3,3,3,2,2.5,2,4,4,3,5,2,2,5,2.5,3,2
Sherlock Holmes and the Vampires of London,1616552662,4,4,4.5,3,2,4,2.5,3,3.5,4,2,3,2,5,3,1,2,2.5,3,3,2,4,3,5,3.5,1.5,3,1.5,2,3
